m_e,60,140,d_mu
1,669.7333333333332,671.5,1.7666666666667652
2,952.7,1371.9,419.20000000000005
3,1042.4666666666667,1896.9,854.4333333333334
4,1138.7,2316.9,1178.2
5,1162.6,2706.933333333333,1544.333333333333
