p_s,p_s^2,p_s^4,60,140,d_mu
0.0,0.0,0.0,1189.833333,2800.033333,1610.1999999999998
0.2,0.04000000000000001,0.0016000000000000003,1327.966667,2970.066667,1642.1000000000001
0.4,0.16000000000000003,0.025600000000000005,1548.366667,3664.6,2116.233333
0.6,0.36,0.1296,2093.933333,4843.4,2749.4666669999997
0.8,0.6400000000000001,0.4096000000000001,3520.9,8237.4,4716.5
