num_hawks,num_doves,num_hawks_infected,num_doves_infected,infection_rate,mask_effectiveness,improper_mask_usage_severity,percent_improper_mask_usage,percent_stationary,probability_quarantined,time_25,time_50,time_75,time_100,total_infected,total_time
190,10,10,10,0.2,5,0,0,0,0,411,836,1177,2638,200,2638
180,20,10,10,0.2,5,0,0,0,0,406,977,1324,7240,200,7240
170,30,10,10,0.2,5,0,0,0,0,540,968,1423,5755,200,5755
160,40,10,10,0.2,5,0,0,0,0,654,1145,1655,5087,200,5087
150,50,10,10,0.2,5,0,0,0,0,507,1019,1563,12908,200,12908
140,60,10,10,0.2,5,0,0,0,0,741,1189,1876,11648,200,11648
130,70,10,10,0.2,5,0,0,0,0,509,1076,1812,8732,200,8732
120,80,10,10,0.2,5,0,0,0,0,922,1460,2304,7293,200,7293
110,90,10,10,0.2,5,0,0,0,0,859,1546,3026,10558,200,10558
100,100,10,10,0.2,5,0,0,0,0,787,1908,3424,14872,200,14872
90,110,10,10,0.2,5,0,0,0,0,1044,2180,3458,10687,200,10687
80,120,10,10,0.2,5,0,0,0,0,1052,1905,3312,12196,200,12196
70,130,10,10,0.2,5,0,0,0,0,970,1915,3787,11678,200,11678
60,140,10,10,0.2,5,0,0,0,0,878,2357,4381,17714,200,17714
50,150,10,10,0.2,5,0,0,0,0,1637,3515,6357,17309,200,17309
40,160,10,10,0.2,5,0,0,0,0,1874,4023,6822,23355,200,23355
30,170,10,10,0.2,5,0,0,0,0,2528,4821,9064,19391,200,19391
20,180,10,10,0.2,5,0,0,0,0,3532,7034,12112,27777,200,27777
10,190,10,10,0.2,5,0,0,0,0,3121,7716,11928,38617,200,38617
190,10,10,10,0.16,5,0,0,0,0,446,838,1320,2704,200,2704
180,20,10,10,0.16,5,0,0,0,0,557,983,1466,7919,200,7919
170,30,10,10,0.16,5,0,0,0,0,640,1201,1799,6570,200,6570
160,40,10,10,0.16,5,0,0,0,0,598,1115,1778,6257,200,6257
150,50,10,10,0.16,5,0,0,0,0,875,1455,2128,8043,200,8043
140,60,10,10,0.16,5,0,0,0,0,780,1454,2099,12513,200,12513
130,70,10,10,0.16,5,0,0,0,0,733,1505,2561,12076,200,12076
120,80,10,10,0.16,5,0,0,0,0,728,1386,2615,12057,200,12057
110,90,10,10,0.16,5,0,0,0,0,1113,2250,3259,12292,200,12292
100,100,10,10,0.16,5,0,0,0,0,1053,2039,3478,19110,200,19110
90,110,10,10,0.16,5,0,0,0,0,952,2208,4050,16870,200,16870
80,120,10,10,0.16,5,0,0,0,0,1270,2805,4472,12888,200,12888
70,130,10,10,0.16,5,0,0,0,0,1010,2369,4570,19926,200,19926
60,140,10,10,0.16,5,0,0,0,0,1719,3369,5835,20287,200,20287
50,150,10,10,0.16,5,0,0,0,0,1803,4111,7419,23875,200,23875
40,160,10,10,0.16,5,0,0,0,0,2717,5224,7830,33435,200,33435
30,170,10,10,0.16,5,0,0,0,0,3435,6466,12303,39992,200,39992
20,180,10,10,0.16,5,0,0,0,0,2576,7482,13193,33616,200,33616
10,190,10,10,0.16,5,0,0,0,0,4912,10955,17006,38264,200,38264
190,10,10,10,0.12,5,0,0,0,0,945,1375,2015,4674,200,4674
180,20,10,10,0.12,5,0,0,0,0,709,1406,2054,11831,200,11831
170,30,10,10,0.12,5,0,0,0,0,985,1606,2272,12139,200,12139
160,40,10,10,0.12,5,0,0,0,0,1288,1983,2925,15442,200,15442
150,50,10,10,0.12,5,0,0,0,0,691,1512,2405,14387,200,14387
140,60,10,10,0.12,5,0,0,0,0,643,1827,2865,13914,200,13914
130,70,10,10,0.12,5,0,0,0,0,1137,1984,3097,12264,200,12264
120,80,10,10,0.12,5,0,0,0,0,983,2054,3460,19850,200,19850
110,90,10,10,0.12,5,0,0,0,0,966,2163,3621,13942,200,13942
100,100,10,10,0.12,5,0,0,0,0,1704,3187,5221,28017,200,28017
90,110,10,10,0.12,5,0,0,0,0,1438,2700,4748,24377,200,24377
80,120,10,10,0.12,5,0,0,0,0,1253,3425,5552,23884,200,23884
70,130,10,10,0.12,5,0,0,0,0,1895,3558,6500,43996,200,43996
60,140,10,10,0.12,5,0,0,0,0,2206,5004,8605,23908,200,23908
50,150,10,10,0.12,5,0,0,0,0,1908,3973,8120,41630,200,41630
40,160,10,10,0.12,5,0,0,0,0,2211,5630,10233,34223,200,34223
30,170,10,10,0.12,5,0,0,0,0,4127,7366,13447,59921,200,59921
20,180,10,10,0.12,5,0,0,0,0,4602,10730,17553,40655,200,40655
10,190,10,10,0.12,5,0,0,0,0,5662,14542,22796,55836,200,55836
190,10,10,10,0.07999999999999999,5,0,0,0,0,1110,1776,2912,6469,200,6469
180,20,10,10,0.07999999999999999,5,0,0,0,0,1499,2491,3645,17765,200,17765
170,30,10,10,0.07999999999999999,5,0,0,0,0,1361,2271,3180,16038,200,16038
160,40,10,10,0.07999999999999999,5,0,0,0,0,1582,2755,3673,15584,200,15584
150,50,10,10,0.07999999999999999,5,0,0,0,0,1167,2260,3407,22594,200,22594
140,60,10,10,0.07999999999999999,5,0,0,0,0,1580,2847,4071,26187,200,26187
130,70,10,10,0.07999999999999999,5,0,0,0,0,1615,3045,4741,25643,200,25643
120,80,10,10,0.07999999999999999,5,0,0,0,0,1605,2760,4393,16930,200,16930
110,90,10,10,0.07999999999999999,5,0,0,0,0,2299,3835,5809,25626,200,25626
100,100,10,10,0.07999999999999999,5,0,0,0,0,2198,3763,6696,24673,200,24673
90,110,10,10,0.07999999999999999,5,0,0,0,0,1475,3439,7002,33564,200,33564
80,120,10,10,0.07999999999999999,5,0,0,0,0,2915,5138,9975,50363,200,50363
70,130,10,10,0.07999999999999999,5,0,0,0,0,2357,5526,10295,44965,200,44965
60,140,10,10,0.07999999999999999,5,0,0,0,0,3822,7496,14362,40041,200,40041
50,150,10,10,0.07999999999999999,5,0,0,0,0,4795,8015,13058,38885,200,38885
40,160,10,10,0.07999999999999999,5,0,0,0,0,4181,8170,15918,49329,200,49329
