s_u,60,140,d_mu
0.0,1172.866667,2738.4,1565.533333
0.4,1152.7,2627.3,1474.6000000000001
0.8,1155.866667,2431.433333,1275.566666
1.2000000000000002,1145.333333,2387.8,1242.4666670000001
1.6,1154.6,2191.566667,1036.9666670000001
